designer,url,temporada,fecha_scrapped,fuente,Year
sia-arnika,https://assets.vogue.com/photos/65c5fe106fe35c205ee5b0a4/master/w_2560%2Cc_limit/00002-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe107b8998e5503e4ccc/master/w_2560%2Cc_limit/00003-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe13e529f4a03cf4f734/master/w_2560%2Cc_limit/00004-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe13c1df118b547f739c/master/w_2560%2Cc_limit/00005-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe13a86b0939207200a7/master/w_2560%2Cc_limit/00006-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe16bcba8ba4c78cf1e7/master/w_2560%2Cc_limit/00007-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe16e529f4a03cf4f736/master/w_2560%2Cc_limit/00008-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe16c1df118b547f739e/master/w_2560%2Cc_limit/00009-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe18fc47d55200595f32/master/w_2560%2Cc_limit/00010-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe197b8998e5503e4cce/master/w_2560%2Cc_limit/00011-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe190f21120c886e9896/master/w_2560%2Cc_limit/00012-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1b8a21f76aba498d96/master/w_2560%2Cc_limit/00013-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1ce829f2bd51abf8cc/master/w_2560%2Cc_limit/00014-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1c7b8998e5503e4cd0/master/w_2560%2Cc_limit/00015-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1effb1d380cd664857/master/w_2560%2Cc_limit/00016-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1fa91b310a259fb802/master/w_2560%2Cc_limit/00017-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe1f7d69089a36c75320/master/w_2560%2Cc_limit/00018-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe22e9261ce257d84a05/master/w_2560%2Cc_limit/00019-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe227396c4b952c764ed/master/w_2560%2Cc_limit/00020-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe22ffb1d380cd664859/master/w_2560%2Cc_limit/00021-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe24bcba8ba4c78cf1e9/master/w_2560%2Cc_limit/00022-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe26a86b0939207200aa/master/w_2560%2Cc_limit/00023-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe25dc99f2f932a7b268/master/w_2560%2Cc_limit/00024-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe277b8998e5503e4cd2/master/w_2560%2Cc_limit/00025-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe29a91b310a259fb804/master/w_2560%2Cc_limit/00026-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe292bd3c679f2b28158/master/w_2560%2Cc_limit/00027-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
sia-arnika,https://assets.vogue.com/photos/65c5fe2a9329f6323e0a7a50/master/w_2560%2Cc_limit/00028-sia-arnika-fall-2024-ready-to-wear-berlin-credit-boris-marberg-bfw.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
