designer,url,temporada,year
skall-studio,https://assets.vogue.com/photos/65ba379bb55cb162751feff6/master/w_2560%2Cc_limit/00002-skall-studio-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
skall-studio,https://assets.vogue.com/photos/65ba379bb55cb162751feff4/master/w_2560%2Cc_limit/00003-skall-studio-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
stamm,https://assets.vogue.com/photos/65b90361ec51df1d76dd440d/master/w_2560%2Cc_limit/00002-stamm-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
stamm,https://assets.vogue.com/photos/65b903610db761d7fcaa5c23/master/w_2560%2Cc_limit/00003-stamm-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
rolf-ekroth,https://assets.vogue.com/photos/65b8d98fec51df1d76dd4404/master/w_2560%2Cc_limit/00002-rolf-ekroth-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
rolf-ekroth,https://assets.vogue.com/photos/65b8d98e84fa566cb3b4f9ae/master/w_2560%2Cc_limit/00003-rolf-ekroth-fall-2024-ready-to-wear-copenhagen-credit-gorunway.jpg,otoño - invierno,2024
kith,https://assets.vogue.com/photos/65be27e10d80427a8d0cc1df/master/w_2560%2Cc_limit/00002-kith-spring-2024-menswear-credit-brand.jpg,primavera - verano,2024
kith,https://assets.vogue.com/photos/65be27e3f1ba3c81d30c62f3/master/w_2560%2Cc_limit/00003-kith-spring-2024-menswear-credit-brand.jpg,primavera - verano,2024
oamc,https://assets.vogue.com/photos/65ba6c739621d7e0baadb2d3/master/w_2560%2Cc_limit/00002-oamc-spring-2024-menswear-credit-ian-kenneth-bird.jpg,primavera - verano,2024
oamc,https://assets.vogue.com/photos/65ba6c742a268b391b281330/master/w_2560%2Cc_limit/00003-oamc-spring-2024-menswear-credit-ian-kenneth-bird.jpg,primavera - verano,2024
mugler,https://assets.vogue.com/photos/65bcbf1056497d42e1267b81/master/w_2560%2Cc_limit/00002-mugler-pre-fall-2024-credit-brand.jpg,otoño - invierno,2024
mugler,https://assets.vogue.com/photos/65bcbf10f7f65b46842270d4/master/w_2560%2Cc_limit/00003-mugler-pre-fall-2024-credit-brand.jpg,otoño - invierno,2024
philipp-plein,https://assets.vogue.com/photos/65981fd04c8e6611879b7e0a/master/w_2560%2Cc_limit/00002-philipp-plein-prefall-2024-credit-brand.jpg,otoño - invierno,2024
philipp-plein,https://assets.vogue.com/photos/65981fd0455d1efb5e37681c/master/w_2560%2Cc_limit/00003-philipp-plein-prefall-2024-credit-brand.jpg,otoño - invierno,2024
undercover,https://assets.vogue.com/photos/65abeaba5c503dd82d1ef8fe/master/w_2560%2Cc_limit/00002-undercover-pre-fall-2024-credit-brand.jpg,otoño - invierno,2024
undercover,https://assets.vogue.com/photos/65abeabbd9d5709ef68d1eb4/master/w_2560%2Cc_limit/00003-undercover-pre-fall-2024-credit-brand.jpg,otoño - invierno,2024
hm,https://assets.vogue.com/photos/65aa4f5b6e3a13fd487f48bb/master/w_2560%2Cc_limit/00002-hm-studio-spring-2024-ready-to-wear-credit-brand.jpg,primavera - verano,2024
hm,https://assets.vogue.com/photos/65aa4f5c911d8a89d2395fdb/master/w_2560%2Cc_limit/00003-hm-studio-spring-2024-ready-to-wear-credit-brand.jpg,primavera - verano,2024
stein,https://assets.vogue.com/photos/65bcc325942221448ef58fb2/master/w_2560%2Cc_limit/00002-stein-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,otoño - invierno,2024
stein,https://assets.vogue.com/photos/65bcc32584c4558af0d19175/master/w_2560%2Cc_limit/00003-stein-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,otoño - invierno,2024
rainmaker,https://assets.vogue.com/photos/65b774afee61ed27e5ead5e2/master/w_2560%2Cc_limit/00002-rainmaker-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,otoño - invierno,2024
rainmaker,https://assets.vogue.com/photos/65b774af122457c7cd65af99/master/w_2560%2Cc_limit/00003-rainmaker-fall-2024-ready-to-wear-tokyo-credit-brand.jpg,otoño - invierno,2024
b-umit-benan,https://assets.vogue.com/photos/65a91d4bcb58e8ab7ad97db2/master/w_2560%2Cc_limit/00002-umit-benan-fall-2024-menswear-credit-simone-falcetta.jpg,otoño - invierno,2024
b-umit-benan,https://assets.vogue.com/photos/65a91d4e9a1c5e6af5c07112/master/w_2560%2Cc_limit/00003-umit-benan-fall-2024-menswear-credit-simone-falcetta.jpg,otoño - invierno,2024
engineered-garments,https://assets.vogue.com/photos/65b777616721bb2cf5c0cdb7/master/w_2560%2Cc_limit/00002-engineered-garments-fall-2024-menswear-credit-brand.jpg,otoño - invierno,2024
engineered-garments,https://assets.vogue.com/photos/65b77760878a3d9575bcf3ea/master/w_2560%2Cc_limit/00003-engineered-garments-fall-2024-menswear-credit-brand.jpg,otoño - invierno,2024
william-fan,https://assets.vogue.com/photos/65c3584a177862a0bf685750/master/w_2560%2Cc_limit/00002-willaim-fan-fall-2024-ready-to-wear-berlin-credit-julian-wiesemes-brand.jpg,otoño - invierno,2024
william-fan,https://assets.vogue.com/photos/65c3584b421a4dd7016b1b25/master/w_2560%2Cc_limit/00003-willaim-fan-fall-2024-ready-to-wear-berlin-credit-julian-wiesemes-brand.jpg,otoño - invierno,2024
marc-jacobs,https://assets.vogue.com/photos/65bdc143bc2006a1bb12ce9d/master/w_2560%2Cc_limit/00002-marc-jacobs-spring-2024-ready-to-wear-courtesy-of-marc-jacobs.jpg,primavera - verano,2024
marc-jacobs,https://assets.vogue.com/photos/65bdc145fb787ca0e9306cf2/master/w_2560%2Cc_limit/00003-marc-jacobs-spring-2024-ready-to-wear-courtesy-of-marc-jacobs.jpg,primavera - verano,2024
