designer,page_url,year,temporada,city,tipo,url
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/3cda/3d24/d415/a961/fa06/fdff/add1/e8c0/6ebe/6136/6136.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/b928/17b2/464a/f8d8/7bdf/a2a8/6dce/5e55/e094/3af4/3af4.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/e2f4/97de/42af/cf4b/29da/3e60/fcbe/1065/5450/24f7/24f7.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/0421/d46b/87a2/7578/76ad/1efd/a934/adc5/ba79/f055/f055.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9483/957b/5a58/af26/b318/360e/7c81/0c74/da24/6bd8/6bd8.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/bf41/7de7/337b/9c84/1047/2043/87ba/5b5c/7de8/919e/919e.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/bcb9/476b/75c0/5a77/2a5b/14e0/5024/bd35/3826/9e16/9e16.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/cb6f/f370/3ddb/168d/c4f2/5fbc/2439/4b17/c35f/92f8/92f8.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/02f1/1f3e/cbd3/43e9/17b2/9fbb/2bfc/1538/98b0/3360/3360.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/7462/4393/4662/149a/10c1/2a88/b877/201a/28e2/8fe9/8fe9.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/d935/9ffb/c17a/3fc1/5f2c/e1cd/59b0/a649/486f/06c9/06c9.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/f1e5/e7ef/75d5/5284/405f/fb9a/2448/9b3f/af87/e07f/e07f.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/4684/587a/de37/72fb/89e7/31e8/16f4/ce17/a940/3d92/3d92.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/a549/8b26/8276/67d8/6224/5417/2bb7/9a0d/7c45/aa10/aa10.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/a420/46c8/b7ac/59fd/d7f3/746f/083f/d6e8/0ebf/5b31/5b31.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/197a/03ba/51a4/b9a8/f764/f26d/119e/c126/5e1e/e5d8/e5d8.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/3e0f/6d74/86cd/b9e9/e48b/5cbb/b969/e843/188b/740e/740e.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/60f7/4614/a69a/c893/32b6/232e/4dc2/6552/65e6/94e0/94e0.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9d1c/2333/dafc/4f17/09f3/0156/5d99/5a76/2eee/0c36/0c36.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/2791/a424/cb7f/d0f9/e560/7eab/58f2/b849/a1a2/5437/5437.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/ba5c/a178/8b38/be45/cb10/08d3/30d8/83de/0f42/1c68/1c68.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/02db/3a0f/bfa3/c890/0d9a/6aeb/094b/999e/e24d/86c8/86c8.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/3148/64e4/6c38/6ce0/5438/737f/4a30/fe3c/6be3/4634/4634.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/77e1/da60/40cf/64fe/86c8/0a09/9f6e/17fc/8f42/4240/4240.jpg"
Xuly Bet,"https://es.fashionnetwork.com/galeries/photos/Xuly-Bet,54297.html",2024,Otoño - invierno,parís,womenswear desfiles,"https://media.fashionnetwork.com/cdn-cgi/image/fit=cover,width=320,height=480/m/9aba/372a/be34/396e/8a14/d229/5d0c/359f/5fd4/352c/352c.jpg"
